"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Adams County, OH"	"39001"	"1999"	"1999"	Suppressed	27422	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2000"	"2000"	Suppressed	27330	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2001"	"2001"	Suppressed	27522	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2002"	"2002"	Suppressed	27817	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2003"	"2003"	Suppressed	28111	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2004"	"2004"	Suppressed	28328	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2005"	"2005"	Suppressed	28522	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2006"	"2006"	Suppressed	28615	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2007"	"2007"	Suppressed	28538	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2008"	"2008"	Suppressed	28686	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2009"	"2009"	Suppressed	28500	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2010"	"2010"	Suppressed	28550	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2011"	"2011"	Suppressed	28456	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2012"	"2012"	10	28350	Unreliable	Unreliable
	"Adams County, OH"	"39001"	"2013"	"2013"	Suppressed	28105	Suppressed	Suppressed
	"Adams County, OH"	"39001"	"2014"	"2014"	10	28129	Unreliable	Unreliable
	"Adams County, OH"	"39001"	"2015"	"2015"	13	28024	Unreliable	Unreliable
	"Adams County, OH"	"39001"	"2016"	"2016"	13	27907	Unreliable	Unreliable
	"Adams County, OH"	"39001"	"2017"	"2017"	16	27726	Unreliable	Unreliable
	"Adams County, OH"	"39001"	"2018"	"2018"	11	27724	Unreliable	Unreliable
	"Allen County, OH"	"39003"	"1999"	"1999"	Suppressed	108192	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2000"	"2000"	Suppressed	108473	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2001"	"2001"	Suppressed	108523	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2002"	"2002"	Suppressed	108518	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2003"	"2003"	Suppressed	107418	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2004"	"2004"	Suppressed	106826	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2005"	"2005"	Suppressed	106861	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2006"	"2006"	Suppressed	106716	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2007"	"2007"	10	106717	Unreliable	Unreliable
	"Allen County, OH"	"39003"	"2008"	"2008"	11	106773	Unreliable	Unreliable
	"Allen County, OH"	"39003"	"2009"	"2009"	Suppressed	106518	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2010"	"2010"	Suppressed	106331	Suppressed	Suppressed
	"Allen County, OH"	"39003"	"2011"	"2011"	12	106094	Unreliable	Unreliable
	"Allen County, OH"	"39003"	"2012"	"2012"	16	105141	Unreliable	Unreliable
	"Allen County, OH"	"39003"	"2013"	"2013"	16	105298	Unreliable	Unreliable
	"Allen County, OH"	"39003"	"2014"	"2014"	16	105040	Unreliable	Unreliable
	"Allen County, OH"	"39003"	"2015"	"2015"	21	104425	20.1	21.8
	"Allen County, OH"	"39003"	"2016"	"2016"	35	103742	33.7	37.0
	"Allen County, OH"	"39003"	"2017"	"2017"	43	103198	41.7	45.0
	"Allen County, OH"	"39003"	"2018"	"2018"	14	102663	Unreliable	Unreliable
	"Ashland County, OH"	"39005"	"1999"	"1999"	Suppressed	52431	Suppressed	Suppressed
	"Ashland County, OH"	"39005"	"2000"	"2000"	Suppressed	52523	Suppressed	Suppressed
	"Ashland County, OH"	"39005"	"2001"	"2001"	Suppressed	52560	Suppressed	Suppressed
	"Ashland County, OH"	"39005"	"2002"	"2002"	Suppressed	52595	Suppressed	Suppressed
	"Ashland County, OH"	"39005"	"2003"	"2003"	Suppressed	52867	Suppressed	Suppressed
	"Ashland County, OH"	"39005"	"2004"	"2004"	Suppressed	52852	Suppressed	Suppressed
